Average:
85118,

Raw Data:
2914,
2898,
2789,
2834,
2855,
2608,
2887,
2914,
2909,
2824,
2832,
2738,
2912,
2593,
2841,
2879,
2829,
2875,
2898,
2855,
2873,
2880,
2878,
2834,
2818,
2836,
2816,
2878,
2887,
2734,
