Average:
2742191,

Raw Data:
102788,
72802,
72953,
72517,
83077,
83034,
103217,
102695,
103441,
102426,
103104,
72591,
83008,
103064,
103169,
102909,
102210,
101868,
82299,
82241,
82229,
102437,
103227,
103499,
103479,
103974,
102668,
101841,
0,
103424,
