Average:
15758570,

Raw Data:
1940,
0,
611562,
610277,
599415,
608006,
547029,
505961,
544977,
623992,
552157,
602350,
601483,
0,
649692,
598212,
597176,
596295,
635108,
644957,
644006,
592585,
631075,
0,
629078,
638166,
626951,
635952,
635623,
594545,
