Average:
13086758,

Raw Data:
441297,
420598,
482256,
483998,
482100,
482333,
482030,
482048,
472066,
420251,
430579,
471944,
0,
420111,
471617,
460125,
461163,
461150,
440969,
0,
481267,
481426,
481446,
481236,
482588,
482512,
482647,
482253,
482326,
482422,
