Average:
45312115,

Raw Data:
1603101,
1602390,
1601006,
1619430,
1618617,
1598009,
0,
1645375,
1605248,
1594163,
1643970,
1642536,
1610798,
1629874,
1639254,
1638737,
1626960,
1586138,
1645947,
1554089,
1583078,
0,
1631253,
1619744,
1639862,
1627933,
1626803,
1626898,
1626039,
1624863,
