Average:
32708330,

Raw Data:
1232175,
1241419,
1220246,
0,
1238436,
1237682,
1207298,
0,
1205337,
1213294,
1222232,
1231325,
1230568,
1280157,
1278911,
1298264,
1276849,
0,
1264923,
1273911,
0,
1232002,
1291309,
1290241,
1289310,
1288136,
1307044,
1286738,
1285852,
1284671,
