Average:
4266501,

Raw Data:
121998,
152296,
152342,
152202,
131687,
101881,
152045,
151976,
151903,
162531,
151894,
151826,
131189,
0,
161998,
160522,
160695,
160625,
161461,
150579,
162639,
160639,
161929,
162503,
161940,
161526,
162155,
0,
150332,
161188,
