Average:
23840644,

Raw Data:
951012,
0,
949386,
897394,
946902,
0,
0,
974249,
953567,
952483,
951540,
970134,
949365,
948402,
937641,
895626,
935564,
944617,
912242,
932133,
981262,
980413,
969633,
979115,
977915,
987842,
986932,
975275,
0,
0,
