Average:
139790,

Raw Data:
4147,
3152,
5088,
4103,
6145,
4103,
6020,
3784,
6128,
4026,
6040,
3979,
3508,
3503,
3463,
5716,
5770,
5792,
4260,
3393,
5745,
5814,
3222,
2753,
4034,
5647,
5603,
4310,
5229,
5313,
