Average:
376307,

Raw Data:
12062,
14511,
12619,
12848,
12513,
12145,
13462,
14229,
14549,
14536,
12314,
12132,
12693,
12403,
11638,
12048,
12273,
11945,
11556,
11918,
11927,
11752,
11886,
12226,
12213,
12342,
12376,
11857,
11707,
13627,
