Average:
3195101,

Raw Data:
103084,
102799,
112839,
112763,
112775,
112764,
112808,
112776,
92252,
112575,
112384,
112208,
112291,
102563,
102576,
112193,
0,
113726,
114202,
114187,
113388,
113463,
113414,
113070,
113017,
113607,
102408,
102370,
113527,
113072,
