Average:
386499,

Raw Data:
13725,
14341,
4288,
13855,
5744,
4697,
14314,
3021,
15056,
4252,
14340,
15465,
13452,
14932,
14446,
15065,
16117,
13569,
13516,
13969,
13938,
13948,
16153,
15142,
13475,
15425,
15914,
14853,
15390,
14097,
