Average:
117730,

Raw Data:
3010,
3820,
5108,
3938,
2870,
4345,
3614,
2519,
4847,
3647,
3708,
5016,
3998,
3679,
4292,
4235,
4146,
4035,
4131,
4097,
4068,
4475,
4467,
4481,
4414,
3118,
3200,
3274,
3753,
3425,
