Average:
49979104,

Raw Data:
2602442,
0,
2620334,
2599567,
0,
2597731,
2616586,
2645019,
2614177,
2613329,
0,
2641658,
0,
0,
0,
0,
0,
2647222,
2646826,
0,
2644170,
2643613,
0,
2651925,
2628337,
2638762,
0,
2657827,
2635651,
2633928,
