Average:
5040982,

Raw Data:
174716,
174328,
0,
174281,
174688,
173848,
72866,
174104,
174063,
173979,
185404,
174503,
174522,
174746,
174707,
183924,
183964,
152216,
152171,
174042,
183838,
184771,
184647,
184632,
184412,
183857,
184681,
183878,
185609,
183585,
