Average:
43601373,

Raw Data:
1603310,
0,
1642296,
1600582,
1640415,
1587571,
1638387,
1637325,
1605987,
1593474,
1634651,
1633800,
1619806,
1601489,
1600555,
0,
1598167,
1627813,
1595961,
1585031,
1594211,
1623518,
1622932,
1621563,
1620697,
0,
1619352,
1618459,
1617515,
1616506,
