Average:
26959322,

Raw Data:
984435,
902012,
941052,
940039,
0,
1108472,
1118970,
1106287,
935066,
0,
1072897,
1071846,
1130946,
1130203,
0,
1109635,
1127697,
1107811,
1106757,
0,
1124026,
1122523,
1111079,
1121285,
1119741,
1117921,
1116858,
1115814,
1115950,
0,
