Average:
15188324,

Raw Data:
530846,
610214,
609129,
608183,
426371,
525934,
503969,
493030,
603245,
501279,
601254,
600102,
599298,
598212,
597296,
606086,
595350,
635978,
624090,
0,
0,
631501,
630435,
0,
618302,
0,
616213,
615247,
614283,
592477,
