Average:
2286086,

Raw Data:
84398,
83007,
71856,
81770,
82489,
71802,
51267,
71552,
71842,
81669,
71602,
71785,
81609,
71552,
51207,
51152,
71524,
71383,
81502,
82105,
83320,
83356,
82812,
83350,
83851,
83659,
82287,
81099,
81723,
83556,
