10 clients
2 tps
10 iter
500ms threshold
increase client by 10

clients, 10
128, 109, 122, 106, 102, 113, 110, 108, 104, 91,

clients, 20
157, 145, 168, 131, 138, 130, 140, 127, 119, 124, 131, 118, 107, 115, 120, 105, 107, 101, 91, 88,

clients, 30
118, 117, 116, 116, 115, 112, 118, 122, 117, 88, 101, 107, 93, 99, 98, 94, 98, 100, 98, 85, 89, 81, 78, 79, 82, 72, 77, 73, 129, 70, 
